LOF折溢价研究(方向2, 研究版)
样本: 成交额前80只, 2005-04-29 ~ 2026-09-18

[R0] 折价率中位 -0.39% | 折价占比 46.4%

[R1] 横截面(月度) 深折价/中间/溢价 次月收益:
                deep       mid      prem        ls   n
date                                                  
2015-04-30  0.067289  0.137768  0.016195  0.051094  20
2015-05-31 -0.032775 -0.069344 -0.085287  0.052512  21
2015-06-30 -0.069303 -0.060093 -0.131506  0.062203  21
2015-07-31 -0.044910 -0.031369 -0.098240  0.053330  22
2015-08-31 -0.046288 -0.021138 -0.007298 -0.038989  23
2015-09-30  0.065185  0.083817  0.110249 -0.045063  22
2015-10-31 -0.004692  0.017458  0.019421 -0.024113  23
2015-11-30 -0.031180  0.006902  0.041018 -0.072198  23
2015-12-31 -0.200708 -0.002621 -0.107481 -0.093228  23
2016-01-31  0.026032 -0.003724 -0.029734  0.055766  23
2016-02-29  0.016794  0.062648  0.023478 -0.006684  22
2016-03-31  0.072032 -0.011334 -0.006808  0.078841  23
2016-04-30  0.001223  0.011593 -0.030318  0.031541  25
2016-05-31  0.031058  0.036807  0.038789 -0.007730  24
2016-06-30  0.017710 -0.003264  0.020133 -0.002423  25
2016-07-31  0.022263  0.017222  0.032477 -0.010214  26
2016-08-31  0.000671 -0.004779 -0.010598  0.011269  27
2016-09-30  0.014209  0.006062  0.002770  0.011440  26
2016-10-31  0.017872 -0.013080 -0.022803  0.040675  25
2016-11-30 -0.031003 -0.062574  0.045772 -0.076775  25
2016-12-31 -0.013648 -0.001652  0.000243 -0.013891  25
2017-01-31  0.037684  0.018939  0.005547  0.032136  34
2017-02-28  0.001658  0.006048 -0.007542  0.009200  35
2017-03-31 -0.015228 -0.004888  0.000047 -0.015276  39
2017-04-30 -0.026748 -0.008709 -0.024231 -0.002517  37
2017-05-31 -0.000886 -0.007507  0.031716 -0.032602  39
2017-06-30  0.021135  0.027843 -0.002643  0.023778  39
2017-07-31 -0.009633 -0.017823 -0.008089 -0.001544  38
2017-08-31  0.005903  0.016880  0.044688 -0.038785  43
2017-09-30  0.012641  0.015396  0.035293 -0.022653  42
2017-10-31  0.005860 -0.000951 -0.024418  0.030278  42
2017-11-30 -0.002984  0.033448  0.007015 -0.009999  42
2017-12-31  0.009250  0.026223  0.025581 -0.016331  44
2018-01-31 -0.014812 -0.019944 -0.041873  0.027061  45
2018-02-28 -0.001855 -0.008873 -0.012953  0.011098  45
2018-03-31  0.039127  0.001253 -0.023343  0.062470  46
2018-04-30  0.038495  0.017893  0.009570  0.028925  46
2018-05-31  0.018195  0.015615 -0.046214  0.064409  47
2018-06-30  0.027959  0.017589 -0.008734  0.036693  45
2018-07-31 -0.007895 -0.020264 -0.033144  0.025249  45
2018-08-31  0.007585  0.031657 -0.008067  0.015652  46
2018-09-30 -0.056353 -0.088892 -0.098106  0.041753  44
2018-10-31  0.016633 -0.011275 -0.025519  0.042153  46
2018-11-30 -0.045994 -0.035048 -0.061082  0.015088  48
2018-12-31  0.048005  0.041126  0.039242  0.008764  48
2019-01-31  0.071763  0.062422  0.098873 -0.027110  48
2019-02-28  0.028261  0.033829  0.055738 -0.027477  47
2019-03-31  0.031159  0.006736  0.007698  0.023461  49
2019-04-30 -0.037031 -0.026636 -0.038519  0.001488  50
2019-05-31  0.044277  0.021790  0.016505  0.027772  48
2019-06-30  0.033538  0.022736  0.025162  0.008376  48
2019-07-31  0.041621  0.014164  0.006211  0.035410  50
2019-08-31  0.026583  0.005400 -0.001597  0.028180  47
2019-09-30  0.019109  0.012116  0.002011  0.017097  48
