iter	RMSE
0	0.997418133
1	0.9965724272
2	0.9956633073
3	0.9948902118
4	0.9941763625
5	0.9933618115
6	0.9927271087
7	0.9921784222
8	0.9916020427
9	0.9910540038
10	0.9905090341
11	0.989856686
12	0.9893608848
13	0.988847004
14	0.9883463616
15	0.9878623111
16	0.9874224327
17	0.9869398031
18	0.986497286
19	0.9860607978
20	0.9856293263
21	0.9852074372
22	0.9848043247
23	0.9844193027
24	0.9840537459
25	0.9836086663
26	0.9832009761
27	0.9827643808
28	0.9823513133
29	0.982024051
30	0.9816682405
31	0.9812385967
32	0.9807009788
33	0.9803919799
34	0.9800303688
35	0.9796308091
36	0.9793849066
37	0.9789971536
38	0.9785095106
39	0.9781913187
40	0.9776870509
41	0.9772831971
42	0.9769841291
43	0.9765812434
44	0.9763396453
45	0.9759895095
46	0.975725495
47	0.9752120684
48	0.9749438408
49	0.974680409
50	0.9742503982
51	0.9738685329
52	0.9737140962
53	0.9734881256
54	0.9731938788
55	0.973003991
