iter	Passed	Remaining
0	98	98895
1	183	91750
2	277	92148
3	364	90698
4	452	90099
5	554	91854
6	649	92129
7	740	91779
8	829	91355
9	925	91611
10	1024	92112
11	1121	92301
12	1225	93055
13	1350	95139
14	1443	94795
15	1537	94582
16	1610	93151
17	1701	92832
18	1788	92326
19	1888	92543
20	1986	92613
21	2083	92599
22	2180	92637
23	2282	92802
24	2385	93048
25	2496	93530
26	2593	93448
27	2675	92892
28	2756	92308
29	2851	92202
30	2945	92072
31	3040	91988
32	3130	91725
33	3220	91494
34	3311	91316
35	3399	91041
36	3499	91088
37	3598	91106
38	3690	90927
39	3789	90948
40	3878	90709
41	3964	90436
42	4057	90304
43	4153	90241
44	4245	90093
45	4329	89785
46	4427	89777
47	4511	89471
48	4612	89529
49	4700	89314
50	4793	89196
51	4886	89091
52	4991	89190
53	5095	89268
54	5190	89186
55	5284	89081
